origin,suite,case,status,seconds,message
Android,com.ugreen.home.rn.DeviceRuntimeWritePolicyTest,property and action names have stable bounded formats,passed,0.0,
Android,com.ugreen.home.rn.DeviceRuntimeWritePolicyTest,bound AI Base child cannot override its managed timezone,passed,0.001,
Android,com.ugreen.home.rn.DeviceRuntimeWritePolicyTest,future thing model property does not require native enum,passed,0.0,
Android,com.ugreen.home.rn.DeviceRuntimeWritePolicyTest,reboot remains blocked during upgrade without an action allowlist,passed,0.0,
Android,com.ugreen.home.rn.DeviceRuntimeWritePolicyTest,reported and identity properties remain read only,passed,0.0,
Android,com.ugreen.home.rn.DeviceRuntimeWritePolicyTest,business property names do not require native value rules,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityAdapterTest,sleeping force-upgrade metadata does not activate the upgrade guard,passed,0.001,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityAdapterTest,offline state is projected as unreachable,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityAdapterTest,active force upgrade is projected separately from reachability,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingDebugEntryVisibilityTest,debug and test builds show the setting debug entry,passed,0.001,
Android,com.ugreen.home.rn.DeviceSettingDebugEntryVisibilityTest,beta and release builds hide the setting debug entry,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingProfilePolicyTest,network info covers all IPC profiles including OD800,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingProfilePolicyTest,flip reset confirmation follows the single and dual lens zone matrix,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingProfilePolicyTest,alarm classification editor availability is profile based,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingProfilePolicyTest,image flip is supported only by ID500 and OD800,passed,0.0,
Android,com.ugreen.home.rn.NativeIpcPlayerStatePolicyTest,keeps resolved device and player states above texture readiness,passed,0.0,
Android,com.ugreen.home.rn.NativeIpcPlayerStatePolicyTest,preview manager exports the player state direct event,passed,0.002,
Android,com.ugreen.home.rn.NativeIpcPlayerStatePolicyTest,shows loading until a real video texture is displayed,passed,0.0,
Android,com.ugreen.home.rn.Od800ManagementDestinationTest,unrelated capability cannot become an internal Activity route,passed,0.0,
Android,com.ugreen.home.rn.Od800ManagementDestinationTest,traffic and network capabilities resolve to typed native destinations,passed,0.0,
Android,com.ugreen.home.rn.Od800ManagementDestinationTest,traffic management allows owner and admin but rejects viewer,passed,0.0,
Android,com.ugreen.home.rn.Od800ManagementDestinationTest,network configuration only allows owner,passed,0.0,
Android,com.ugreen.home.rn.PrivacyZoneNativeRouteTest,outdoor cameras route each lens to its matching editor,passed,0.0,
Android,com.ugreen.home.rn.PrivacyZoneNativeRouteTest,ID500 always keeps the single-lens editor,passed,0.0,
Android,com.ugreen.home.rn.PrivacyZoneNativeRouteTest,outdoor cameras reject a missing or unknown lens,passed,0.0,
Android,com.ugreen.home.rn.device.settings.IpcSettingPageUiTest,privacy mode keeps only AI for a shared camera,passed,0.001,
Android,com.ugreen.home.rn.device.settings.IpcSettingPageUiTest,every known IPC variant has an explicit setting profile,failed,0.003,java.lang.AssertionError: expected:<OD600_SERIES> but was:<ID500_SERIES>
Android,com.ugreen.home.rn.device.settings.IpcSettingPageUiTest,privacy mode keeps owner utilities and hides device settings,passed,0.0,
Android,com.ugreen.home.rn.host.AppRNModuleLifecycleHostTest,skips other modules blank ids and ineligible devices,passed,0.001,
Android,com.ugreen.home.rn.host.AppRNModuleLifecycleHostTest,creates session only for eligible DeviceSettings device,passed,0.001,
Android,com.ugreen.home.rn.host.DeviceSettingsKeepAliveCoordinatorTest,registered session prepares matching setting operation,passed,0.001,
Android,com.ugreen.home.rn.host.DeviceSettingsKeepAliveCoordinatorTest,stale registration cannot remove replacement session,passed,0.001,
Android,com.ugreen.home.ui.dev.OtaCmpDebugScenariosTest,场景18 AiBase失败后IPC仍全部等待,passed,0.002,
Android,com.ugreen.home.ui.dev.OtaCmpDebugScenariosTest,场景11 AiBase升级时IPC全部等待且总体为15,passed,0.001,
Android,com.ugreen.home.ui.dev.OtaCmpDebugScenariosTest,场景13 AiBase成功后IPC才升级且总体为75,passed,0.0,
Android,com.ugreen.home.ui.dev.OtaCmpDebugScenariosTest,场景12和14仅在AiBase无更新语义下允许IPC独立升级,passed,0.001,
Android,com.ugreen.home.ui.dev.OtaCmpDebugScenariosTest,场景15和16的IPC终态均发生在AiBase成功之后,failed,0.0,java.lang.AssertionError: expected:<FAILED> but was:<PROGRESSING>
Android,com.ugreen.home.ui.dev.OtaOverallFlowFinishedTest,子设备失败视为结束,passed,0.001,
Android,com.ugreen.home.ui.dev.OtaOverallFlowFinishedTest,主设备失败标志视为流程结束,passed,0.0,
Android,com.ugreen.home.ui.dev.OtaOverallFlowFinishedTest,主设备成功且无升级中视为结束,passed,0.0,
Android,com.ugreen.home.ui.dev.OtaOverallFlowFinishedTest,仍在升级中不算结束,passed,0.0,
Android,com.ugreen.home.util.KeepAliveManagerTest,other device operation does not reset the deadline,passed,0.008,
Android,com.ugreen.home.util.KeepAliveManagerTest,setting operation after natural expiry restarts and awaits first heartbeat,passed,0.006,
Android,com.ugreen.home.util.KeepAliveManagerTest,sends immediately every five seconds and stops at 120 seconds,passed,0.003,
Android,com.ugreen.home.util.KeepAliveManagerTest,property request latency does not drift the five second cadence,passed,0.002,
Android,com.ugreen.home.util.KeepAliveManagerTest,restart replaces the previous session without cancelling the new one,passed,0.002,
Android,com.ugreen.home.util.KeepAliveManagerTest,stopped session cannot be restarted by a stale setting preparation,passed,0.001,
Android,com.ugreen.home.util.KeepAliveManagerTest,stop cancels future heartbeats and operation observation,passed,0.002,
Android,com.ugreen.home.util.KeepAliveManagerTest,matching successful operation resets the 120 second deadline,passed,0.005,
Android,com.ugreen.bluetooth.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.haibin.calendarview.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.camera.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.device.ExampleUnitTest,addition_isCorrect,passed,0.0,
Android,com.ugreen.device.BleAdvParserTest,test,passed,0.01,
Android,com.ugreen.device.BleParserTest,test,passed,0.011,
Android,com.ugreen.device.BleParserTest,test1,passed,0.004,
Android,com.ugreen.device.BleParserTest,test3,passed,0.014,
Android,com.ugreen.device.DeviceSNParserTest,parse OD600Pro bundle SN,passed,0.001,
Android,com.ugreen.device.DeviceSNParserTest,parse ID500Pro standard SN,passed,0.0,
Android,com.ugreen.device.DeviceSNParserTest,parse OD600Pro standard SN,passed,0.0,
Android,com.ugreen.device.DeviceSNParserTest,productSpec is parsed from SN position 11,passed,0.0,
Android,com.ugreen.device.DeviceSNParserTest,parse ID500Pro bundle SN,passed,0.0,
Android,com.ugreen.device.DeviceSNParserTest,parse ID500Pro emmc SN,passed,0.002,
Android,com.ugreen.device.DeviceSNParserTest,parse OD600Pro emmc SN,passed,0.0,
Android,com.ugreen.device.DeviceSNParserTest,resolve OD800 SD by model id,passed,0.0,
Android,com.ugreen.device.ExampleUnitTest,addition_isCorrect,passed,0.0,
Android,com.ugreen.core.messaging.ExampleUnitTest,addition_isCorrect,passed,0.0,
Android,com.ugreen.ui.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.core.crypto.AssetEncryptorTest,isEncryptedFileName_detectsUgencExtension,passed,0.004,
Android,com.ugreen.core.crypto.AssetEncryptorTest,encryptAndDecrypt_roundTrip,passed,0.023,
Android,com.ugreen.core_util.ExampleUnitTest,addition_isCorrect,passed,0.0,
Android,com.ugreen.care.domain.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,下载中映射为 Upgrading,passed,0.016,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,Rtl 成功不再映射终态而是 Online,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,HTTP downloading contribution keeps Legacy offline semantics,passed,0.001,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,仅 phase DONE 无 Rtl 也回落 Online,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,HTTP zero progress contribution keeps waiting upgrade semantics,passed,0.001,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,在线有更新映射为 Online,passed,0.001,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,安装阶段断线仍为 Upgrading,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,Rtl 失败不再映射终态而是 Online,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,下载中断线映射为 Offline,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,HTTP entry state maps to Online hasUpdate,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.DeviceUnifiedStateTest,HTTP installing contribution reuses unified Upgrading state,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.EventThingModelParsingTest,event search root array maps existence,passed,0.018,
Android,com.ugreen.care.domain.device.properties.model.EventThingModelParsingTest,event time list parses nested sub events,passed,0.169,
Android,com.ugreen.care.domain.device.properties.model.EventThingModelParsingTest,event hour list parses distinct top n structure,passed,0.012,
Android,com.ugreen.care.domain.device.properties.model.MainFirmwareVersionResolverTest,ipc_usesIpcVersion,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.MainFirmwareVersionResolverTest,aiBase_usesAiBaseVersionInsteadOfIpcVersion,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,Rtl result -1 生成 Failed DEVICE_RTL,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,timeoutFailed 生成 Failed TIMEOUT,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,自动升级 mode 2 标记 isAutoUpgrade,passed,0.001,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,Rtl 优先于 phase DONE,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,升级进行中无终态返回 null,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,phase DONE 无 Rtl 生成 Success PHASE_DONE,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultDetectorTest,Rtl result 0 生成 Success DEVICE_RTL,passed,0.0,
Android,com.ugreen.care.domain.device.properties.model.OtaUpgradeResultEventFlowTest,SharedFlow replay 0 不向后订阅者回放历史结果,passed,0.044,
Android,com.ugreen.net.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.qrcode.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.care.repo.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.care.repo.device.downloader.PlaybackDownloadOutputNameTest,builds and parses AOV output name,passed,0.011,
Android,com.ugreen.care.repo.device.downloader.PlaybackDownloadOutputNameTest,parses legacy format segment and rejects another basename,passed,0.0,
Android,com.ugreen.care.repo.device.downloader.PlaybackDownloadOutputNameTest,parses existing single-segment multi-channel output,passed,0.0,
Android,com.ugreen.care.repo.device.properties.DeviceSettingOperationNotifierTest,emits confirmed operation for matching keep alive observer,passed,0.057,
Android,com.ugreen.care.repo.device.properties.model.EventDonateBodyTest,toMap includes material unique code for firmware,passed,0.002,
Android,com.ugreen.care.repo.device.properties.model.EventDonateBodyTest,toMap omits material unique code when absent,passed,0.0,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,preserves playback page size and parent cursor in routed request,passed,0.001,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,shared conversion preserves Android business contract in both compression branches,passed,0.028,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,parses non compressed EventList with SubEventList,passed,0.0,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,keeps old ObjNum number as count without creating children,passed,0.0,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,builds request with protocol fields and without ZlibFlag,passed,0.001,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,shared bridge preserves empty response and decode failure handling,passed,0.0,
Android,com.ugreen.care.repo.device.record.event.PlaybackEventTimeListParserTest,parses compressed v2 parent and child events with numeric strings,passed,0.004,
Android,com.ugreen.care.repo.device.search.AISearchRepositoryImplTest,cacheFaceNames_clearsLocalFacesWhenLatestFaceListIsEmpty,passed,0.004,
Android,com.ugreen.care.repo.device.search.AISearchRepositoryImplTest,cacheFaceNames_replacesLocalFacesWithLatestNonBlankNames,passed,0.001,
Android,com.ugreen.data.UnbindDeviceBodyTest,clean device data is serialized into the unbind request,passed,0.005,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,succeeds when the expected value arrives after the write acknowledgement,passed,0.06,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,returns a stable confirmation timeout when the value never matches,passed,0.006,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,returns the original write failure without waiting,passed,0.001,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,succeeds after timeout when the final cache matches,passed,0.002,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,does not lose a non replayed update emitted while the write is in progress,passed,0.001,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,skips the write when the cache already matches,passed,0.001,
Android,com.ugreen.home.rn.DevicePropertyWriteConfirmationTest,matching variant accepts an equivalent wire representation during the write,passed,0.001,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityPolicyTest,RN page entry flag is not treated as a native capability,passed,0.004,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityPolicyTest,forced upgrade rejects every settings-sensitive native capability,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityPolicyTest,sleeping device remains setting available when force upgrade is not active,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityPolicyTest,offline network configuration remains available for recovery,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityPolicyTest,firmware native route remains available during forced upgrade,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingAvailabilityPolicyTest,offline traffic management remains unavailable,passed,0.001,
Android,com.ugreen.home.rn.DeviceSettingInputPolicyTest,device name editing follows the projected admin permission,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingInputPolicyTest,device name uses the native 30 character-unit boundary,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingInputPolicyTest,device name rejects empty and all-space values,passed,0.0,
Android,com.ugreen.home.rn.DeviceSettingInputPolicyTest,clear device data is owner-only for online and offline deletion,passed,0.001,
Android,com.ugreen.home.rn.MediaShareTempFileStoreTest,create confines and prefixes a sanitized unique png,passed,0.007,
Android,com.ugreen.home.rn.MediaShareTempFileStoreTest,cleanup deletes only expired files owned by the media share prefix,passed,0.001,
Android,com.ugreen.home.rn.NativeGuideVideoViewManagerTest,plays only while active resumed attached and sourced,passed,0.0,
Android,com.ugreen.home.rn.NativeGuideVideoViewManagerTest,uses the stable native guide video component name,passed,0.0,
Android,com.ugreen.home.rn.NativeLottieViewManagerTest,component name remains stable,passed,0.0,
Android,com.ugreen.home.rn.NativeLottieViewManagerTest,playback requires autoplay animation and an attached view,passed,0.001,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,rejects headers that can bypass or corrupt the native gateway,passed,0.001,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,request handle honors cancellation before call attachment,passed,0.001,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,request handle cancels an attached call once,passed,0.0,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,body codec keeps omitted body absent for KMP no-body overloads,passed,0.012,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,compatible params become body only for body methods,passed,0.001,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,body codec preserves explicit null and normalized integers,passed,0.004,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,rejects non finite and unsafe integer values,passed,0.001,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,rejects unsupported method,passed,0.0,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,accepts supported method and relative app path,passed,0.0,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,normalizes integral RN numbers without changing decimal numbers,passed,0.0,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,rejects absolute or protocol-relative URL,passed,0.0,
Android,com.ugreen.home.rn.NetworkRNRequestPolicyTest,explicit null body wins over compatible params,passed,0.0,
Android,com.ugreen.home.rn.StorageRNKeyPolicyTest,rejects blank unsafe and overlong keys,passed,0.0,
Android,com.ugreen.home.rn.StorageRNKeyPolicyTest,accepts scoped RN storage keys,passed,0.001,
Android,com.ugreen.home.rn.StorageRNKeyPolicyTest,requireValid returns the original key or throws,passed,0.0,
Android,com.ugreen.home.rn.container.RNContainerRuntimeResolverTest,metro config uses module scoped development identity,passed,0.0,
Android,com.ugreen.home.rn.container.RNContainerRuntimeResolverTest,offline config preserves bundle generation identity,passed,0.001,
Android,com.ugreen.home.rn.device.DeviceSettingsRNEntryCoordinatorTest,install binds click before scheduling and preserves click action order,passed,0.001,
Android,com.ugreen.home.rn.device.DeviceSettingsRNEntryCoordinatorTest,click routes normally when no prewarm token is available,passed,0.001,
Android,com.ugreen.home.rn.platform.bundle.RNBundleManagerTest,archive reads manifest extracts Bundle and rejects ZipSlip,passed,0.017,
Android,com.ugreen.home.rn.platform.bundle.RNBundleManagerTest,validates Bundle against Runtime facts and Bridge contract,passed,0.005,
Android,com.ugreen.home.rn.platform.bundle.RNBundleManagerTest,same version still reinstalls when Bundle sha changes,passed,0.0,
Android,com.ugreen.home.rn.platform.bundle.RNBundleManagerTest,Bridge contract accepts same major and implemented minimum,passed,0.0,
Android,com.ugreen.home.rn.platform.bundle.RNBundleManagerTest,reads Runtime 0_1_3 installed state without schema migration,passed,0.003,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,rejects non https and non allowlisted CDN URLs,passed,0.003,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,accepts a compatible signed update assignment,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,rejects expired assignment and unknown module,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,accepts a control action without a release but does not turn it into an update,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,rejects quarantined artifacts and user fallback,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,rejects unknown and expired signing keys,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleAssignmentAcceptancePolicyTest,rejects incompatible bridge runtime and app versions,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleDownloadFileStoreTest,rejects a part file outside module download directory,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleDownloadFileStoreTest,promotes only expected part file into immutable artifact name,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleDownloadedArtifactCoordinatorTest,records VERIFIED without activating or extracting artifact,passed,0.008,
Android,com.ugreen.home.rn.platform.update.RNBundleDownloadedArtifactCoordinatorTest,does not persist a file whose zip sha changed,passed,0.002,
Android,com.ugreen.home.rn.platform.update.RNBundleDownloadedArtifactCoordinatorTest,cannot mark VERIFIED when signed payload is not bound to release descriptor,passed,0.002,
Android,com.ugreen.home.rn.platform.update.RNBundleDownloadedFileVerifierTest,verifies size and sha and rejects one changed byte,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleInstallationIdTest,accepts canonical UUID and rejects unstable identifiers,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleLaunchSessionStoreTest,records only bounded failure fields and deduplicates the same failure,passed,0.003,
Android,com.ugreen.home.rn.platform.update.RNBundleLaunchSessionStoreTest,prewarm first frame is observed but app ready cannot mark it healthy,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleLaunchSessionStoreTest,visible launch records first frame and app ready once after runtime binding,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleLaunchSessionStoreTest,unknown expired and malformed launch ids are ignored,passed,0.0,
Android,com.ugreen.home.rn.platform.update.RNBundleManifestCompatibilityVerifierTest,rejects a manifest hash not covered by descriptor,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleManifestCompatibilityVerifierTest,rejects unsafe bundle path and incompatible runtime,passed,0.003,
Android,com.ugreen.home.rn.platform.update.RNBundleManifestCompatibilityVerifierTest,accepts manifest matching signed descriptor and runtime,passed,0.001,
Android,com.ugreen.home.rn.platform.update.RNBundleSignatureVerifierTest,rejects unknown key and malformed base64,passed,0.015,
Android,com.ugreen.home.rn.platform.update.RNBundleSignatureVerifierTest,verifies exact payload bytes and rejects a changed payload,passed,0.006,
Android,com.ugreen.media.ExampleUnitTest,addition_isCorrect,passed,0.0,
Android,com.ugreen.media.muxer.AovRawSegmentSplitterTest,splits NORMAL AOV NORMAL and rewrites only AOV timestamps,passed,0.035,
Android,com.ugreen.media.muxer.AovRawSegmentSplitterTest,uses mode observed before first persisted key frame,passed,0.002,
Android,com.ugreen.media.muxer.AovVideoTimestampMapperTest,maps every real frame to one second step,passed,0.001,
Android,com.ugreen.media.muxer.VideoModeClassifierTest,status 1 confirms AOV from Annex-B and AVCC,passed,0.001,
Android,com.ugreen.media.muxer.VideoModeClassifierTest,status 0 confirms return to NORMAL,passed,0.0,
Android,com.ugreen.media.muxer.VideoModeClassifierTest,missing or unsupported status stays UNKNOWN,passed,0.0,
Android,com.ugreen.media.muxer.VideoSegmentModeTrackerTest,unknown evidence inherits active mode,passed,0.0,
Android,com.ugreen.media.muxer.VideoSegmentModeTrackerTest,mixed NORMAL AOV NORMAL creates two mode boundaries,passed,0.0,
Android,com.ugreen.media.muxer.VideoSegmentModeTrackerTest,mode change waits for decodable boundary,passed,0.0,
Shared@4f36969b,com.ugreen.core.util.ZipHelperTest,collectAndZipLogs_packsRelativeEntries[jvm],passed,0.061,
Shared@4f36969b,com.ugreen.core.util.ZipHelperTest,zipAndUnzip_roundTrip[jvm],passed,0.009,
Shared@4f36969b,com.ugreen.core.util.ZipHelperTest,unzip_rejectsZipSlip[jvm],passed,0.002,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,compress_decompress_empty[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,compressRaw_decompressRaw_roundTrip[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,compressTextToBase64Raw_roundTrip[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,compressTextToBase64_extension[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,compressTextToBase64_roundTrip[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,compress_decompress_roundTrip[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,byteArrayExtensionFunctions[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,decompressPythonZlibBase64[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.ZlibUtilTest,decompressUrlSafeBase64WithoutPadding[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsJceInteropTest,ecb_jce_encrypt_shared_decrypt[jvm],passed,0.013,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsJceInteropTest,gcm_shared_encrypt_jce_decrypt[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsJceInteropTest,gcm_jce_encrypt_shared_decrypt[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsJceInteropTest,cbc_shared_encrypt_jce_decrypt[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,gcm_roundtrip_aes256_and_empty[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,ecb_pkcs7_roundtrip[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,gcm_tamper_fails[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,random_iv_length[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,gcm_with_random_iv_packet[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,random_key_length[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,gcm_roundtrip_aes128[jvm],passed,0.0,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,cbc_roundtrip[jvm],passed,0.001,
Shared@4f36969b,com.ugreen.core.util.crypto.AesUtilsTest,gcm_base64_wire_format_roundtrip[jvm],passed,0.0,
